ASV_ID	10m_0_mV	10m_200_mV	10m_400_mV	10m_600_mV	10m_800_mV	10m_Cont	20_5m_0_mV	20_5m_200_mV	20_5m_400_mV	20_5m_600_mV	20_5m_800_mV	20_5m_Cont	35m_0_mV	35m_200_mV	35m_400_mV	35m_600_mV	35m_Cont
ASV1	66	99	32	64	34	25	72203	127654	159584	92823	72269	115132	202924	23469	147028	7471	135162
ASV2	0	0	0	0	0	0	46749	36924	53691	38346	38831	69707	171585	132630	250205	6513	18749
ASV3	66511	63841	47285	57228	41759	34774	31061	1619	1101	4657	2334	329	0	0	0	0	1700
ASV4	0	0	0	0	0	0	40556	37426	38838	45929	33071	50547	3543	10089	14496	583	4773
ASV5	0	0	0	0	0	0	30049	28073	50881	36177	41775	34733	8394	26975	18816	1608	2810
ASV6	0	0	0	0	0	0	8825	38839	38990	24735	74354	23349	0	1911	7457	335	10011
ASV7	13850	11877	19616	59194	40918	15610	39	77	112	128	0	0	0	0	0	0	0
ASV8	0	0	0	0	0	0	15247	17294	22378	21564	14549	39511	2154	15915	20588	98	3066
ASV9	41056	30640	27019	6629	7516	7220	101	0	0	14	0	0	0	0	0	0	0
ASV10	9131	7703	5261	8205	6579	2144	5487	15899	10235	16932	10448	15185	0	4722	2647	361	15028
ASV11	0	0	0	0	0	0	17	0	112	0	12	0	36221	10910	41907	7959	5264
ASV12	0	0	0	0	0	0	13139	25652	20652	11279	24528	23002	0	62	755	0	2108
ASV13	12473	10321	8640	29624	18531	10381	261	130	453	422	493	0	0	0	0	0	377
ASV14	25084	21377	13225	5550	1832	10437	2348	1130	1793	1245	1685	3048	0	0	0	0	506
ASV15	4758	10524	21593	25304	24986	785	28	0	0	0	0	0	0	0	0	0	187
ASV16	5645	4786	12506	11572	34942	13568	268	0	0	92	0	0	0	0	0	0	219
ASV17	6066	3308	792	237	138	63429	129	46	59	0	0	0	0	0	0	0	0
ASV18	0	0	0	0	0	0	198	82	313	69	105	81	35379	23643	23035	1711	4864
ASV19	0	0	0	0	0	0	3703	15777	13959	9343	27802	8269	0	0	1652	52	3839
ASV20	0	0	0	0	0	0	6168	10672	16088	17124	5923	15821	0	1583	688	0	0
ASV21	0	0	0	0	0	0	6609	9074	20701	13743	10871	12141	0	0	0	0	0
ASV22	6634	7898	8711	5397	8939	3771	597	2002	2048	2419	1168	2104	1213	0	73	53	2044
ASV23	0	0	0	0	0	0	9985	19632	7915	7341	3820	13959	0	0	0	0	1636
ASV24	5326	4852	3873	7626	9478	501	1117	1673	1920	3354	2672	4905	0	4051	3636	346	1301
ASV25	0	0	0	0	0	0	3360	7828	13110	8692	25523	6156	0	0	0	0	1422
ASV26	0	0	0	0	0	0	3634	5866	6195	7214	9565	5175	12557	3508	5823	524	3623
ASV27	0	0	0	0	0	0	4704	9768	9020	4063	8767	8785	8023	9123	1308	16	979
ASV28	0	0	0	0	0	0	3613	3647	15128	9268	7740	8395	2632	4624	2694	0	3697
ASV29	0	0	0	0	0	0	12565	5287	7164	352	0	31810	0	0	0	0	180
ASV30	0	0	0	0	0	0	54	39	183	71	0	439	21441	12109	12249	2174	2113
ASV31	4155	3721	5361	12819	10302	2055	1403	655	669	2049	449	2070	0	0	0	0	903
ASV32	0	0	0	0	0	0	5539	4867	11325	5475	6678	7204	3521	7814	5856	58	1010
